epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5993,1.82607,7.0602,2.18485,0.00429,0.0473,0.00184,0.0005,3.10447,13.545,3.96488,0.000539324,0.000539324,0.000539324
2,37.7603,1.9851,2.86716,2.29897,0.50107,0.28378,0.00097,0.00026,4.26776,inf,25.263,0.00107331,0.00107331,0.00107331
3,52.526,2.03907,2.6493,2.31748,5e-05,0.01351,0,0,4.94611,103.303,10.2384,0.00158529,0.00158529,0.00158529
4,68.2103,2.07536,2.65525,2.33005,0.00088,0.303,0.00031,7e-05,3.95013,inf,35.7706,0.00156798,0.00156798,0.00156798
5,83.0327,1.96744,2.55508,2.19358,0.51881,0.48649,0.02156,0.00942,2.49697,inf,5.36144,0.00153497,0.00153497,0.00153497
6,97.9854,1.93352,2.3509,2.16679,0.79163,0.20946,0.24156,0.11087,2.25311,12.37,2.92793,0.00150197,0.00150197,0.00150197
7,114.668,1.83887,2.11589,2.06247,0.7579,0.27027,0.28341,0.12484,1.9678,7.26803,2.47074,0.00146896,0.00146896,0.00146896
8,129.56,1.83355,2.14222,2.09654,0.56446,0.57968,0.54813,0.23622,1.83828,2.49125,2.34995,0.00143595,0.00143595,0.00143595
9,144.889,1.81078,2.02907,2.02892,0.83176,0.35978,0.43624,0.22519,1.84816,2.99267,2.30394,0.00140295,0.00140295,0.00140295
10,159.761,1.83686,2.05796,2.08936,0.31444,0.56178,0.49638,0.25131,1.76071,2.81321,2.2282,0.00136994,0.00136994,0.00136994
11,174.752,1.78592,1.96457,2.00123,0.52954,0.55555,0.60102,0.28354,1.83055,1.97945,2.28155,0.00133693,0.00133693,0.00133693
12,191.48,1.70661,1.85702,1.93989,0.74722,0.24324,0.27144,0.15314,1.98579,6.45064,2.4013,0.00130393,0.00130393,0.00130393
13,206.375,1.66956,1.84324,1.93382,0.4325,0.56827,0.54588,0.28986,1.72603,1.69841,2.16465,0.00127092,0.00127092,0.00127092
14,221.424,1.65676,1.79541,1.92472,0.53272,0.56801,0.59072,0.29384,1.73982,1.79122,2.19963,0.00123791,0.00123791,0.00123791
15,236.92,1.6551,1.81556,1.94197,0.56057,0.58828,0.6003,0.30257,1.75792,1.74427,2.17287,0.00120491,0.00120491,0.00120491
16,251.725,1.6824,1.809,1.93492,0.42448,0.58749,0.55509,0.27716,1.74608,1.69317,2.17539,0.0011719,0.0011719,0.0011719
17,266.59,1.65395,1.77355,1.90744,0.48404,0.61995,0.60883,0.30184,1.70398,2.35598,2.16255,0.00113889,0.00113889,0.00113889
18,281.703,1.64719,1.71203,1.9215,0.55089,0.65892,0.65012,0.32334,1.65972,1.72731,2.13822,0.00110589,0.00110589,0.00110589
19,296.553,1.57351,1.70533,1.86357,0.48751,0.66939,0.62987,0.30341,1.72074,1.59676,2.12101,0.00107288,0.00107288,0.00107288
20,311.322,1.56808,1.62251,1.81366,0.558,0.68463,0.64009,0.31703,1.70933,1.40109,2.10042,0.00103987,0.00103987,0.00103987
21,326.296,1.54763,1.64949,1.81335,0.49076,0.55286,0.51438,0.27168,1.74224,1.70993,2.18656,0.00100687,0.00100687,0.00100687
22,341.043,1.55981,1.59149,1.80954,0.53514,0.67217,0.67981,0.3496,1.64145,1.35731,2.10985,0.000973861,0.000973861,0.000973861
23,355.929,1.51288,1.54599,1.78895,0.65294,0.67085,0.68856,0.36556,1.58477,1.42312,2.02145,0.000940855,0.000940855,0.000940855
24,371.914,1.47539,1.5527,1.77194,0.69917,0.68463,0.69291,0.36323,1.65343,1.43206,2.13218,0.000907848,0.000907848,0.000907848
25,386.662,1.53237,1.54013,1.82622,0.52857,0.62097,0.61884,0.32213,1.61562,1.39855,2.10708,0.000874842,0.000874842,0.000874842
26,401.412,1.48909,1.53164,1.80802,0.51847,0.72517,0.70919,0.35658,1.59279,1.56068,2.05682,0.000841835,0.000841835,0.000841835
27,416.202,1.43255,1.58106,1.73197,0.59213,0.71709,0.70574,0.33504,1.52697,1.38533,1.98925,0.000808828,0.000808828,0.000808828
28,431.112,1.47213,1.51968,1.76766,0.67682,0.71218,0.74656,0.40305,1.56924,1.34781,2.02429,0.000775822,0.000775822,0.000775822
29,445.937,1.48074,1.51522,1.78492,0.76931,0.76957,0.8109,0.41456,1.48535,1.27689,1.93493,0.000742815,0.000742815,0.000742815
30,460.679,1.44147,1.46875,1.74607,0.70916,0.68384,0.74241,0.39706,1.4904,1.25223,1.95428,0.000709809,0.000709809,0.000709809
31,475.596,1.42485,1.47752,1.71505,0.68811,0.73763,0.73595,0.40374,1.50548,1.23958,1.96505,0.000676802,0.000676802,0.000676802
32,490.377,1.40293,1.38917,1.70776,0.74976,0.74359,0.76319,0.4101,1.52684,1.20885,1.99398,0.000643795,0.000643795,0.000643795
33,505.192,1.39858,1.37415,1.72236,0.54361,0.63959,0.62603,0.35503,1.55852,1.48307,2.03333,0.000610789,0.000610789,0.000610789
34,520.007,1.37047,1.36635,1.67964,0.7006,0.71445,0.75213,0.39548,1.46684,1.24902,1.94342,0.000577782,0.000577782,0.000577782
35,535.017,1.32857,1.31632,1.63202,0.7251,0.79142,0.79007,0.43596,1.53576,1.18045,1.99848,0.000544776,0.000544776,0.000544776
36,549.934,1.36698,1.38708,1.69853,0.69064,0.73166,0.74017,0.40268,1.50089,1.21341,1.98138,0.000511769,0.000511769,0.000511769
37,564.751,1.34843,1.32884,1.65488,0.72345,0.76453,0.78672,0.43212,1.46251,1.12738,1.94432,0.000478762,0.000478762,0.000478762
38,579.932,1.32278,1.3078,1.66879,0.75189,0.80289,0.81142,0.44178,1.46783,1.16847,1.94372,0.000445756,0.000445756,0.000445756
39,594.682,1.31416,1.27328,1.64362,0.77958,0.75878,0.78954,0.42408,1.53695,1.23132,2.01435,0.000412749,0.000412749,0.000412749
40,609.678,1.36254,1.32666,1.71988,0.75254,0.77633,0.80561,0.4409,1.55957,1.11578,2.02956,0.000379743,0.000379743,0.000379743
41,626.8,1.29419,1.13888,1.79418,0.71418,0.79089,0.78446,0.41918,1.52723,1.22638,1.99321,0.000346736,0.000346736,0.000346736
42,641.951,1.2046,1.10371,1.68015,0.75614,0.76284,0.77515,0.41438,1.46196,1.25665,1.93772,0.000313729,0.000313729,0.000313729
43,656.587,1.26234,1.04012,1.77808,0.7332,0.79063,0.7712,0.43404,1.47826,1.13049,1.98283,0.000280723,0.000280723,0.000280723
44,671.147,1.25667,1.03974,1.71671,0.75735,0.80853,0.77749,0.4315,1.45843,1.10757,1.9667,0.000247716,0.000247716,0.000247716
45,685.647,1.20649,1.02403,1.69956,0.7795,0.82283,0.81092,0.45234,1.40891,1.09768,1.92328,0.00021471,0.00021471,0.00021471
46,700.767,1.14865,0.95994,1.62034,0.78099,0.7747,0.79237,0.44578,1.45668,1.1315,1.94642,0.000181703,0.000181703,0.000181703
47,715.309,1.17563,0.98293,1.66895,0.76189,0.79089,0.80422,0.44289,1.46382,1.13553,1.95957,0.000148696,0.000148696,0.000148696
48,729.896,1.14199,0.94993,1.63032,0.78331,0.78855,0.78154,0.43627,1.46508,1.1508,1.96862,0.00011569,0.00011569,0.00011569
49,744.579,1.155,0.94361,1.64347,0.77123,0.79402,0.76883,0.44005,1.43741,1.10582,1.95138,8.26832e-05,8.26832e-05,8.26832e-05
50,759.503,1.15817,0.92766,1.65512,0.80974,0.82283,0.81326,0.45828,1.4592,1.10231,1.97309,4.96766e-05,4.96766e-05,4.96766e-05
