variant,variant_label,threshold,n_seeds,seeds,ap50_mean,ap50_std,precision_mean,precision_std,recall_mean,recall_std,fp_image_rate_mean,fp_image_rate_std,mean_preds_per_knotfree_mean,mean_preds_per_knotfree_std,mean_conf_fp_mean,mean_conf_fp_std,fp_image_rate_ci_lower,fp_image_rate_ci_upper,num_knotfree_images_mean,knotfree_fp_images_mean
baseline,Baseline,0.05,3,42 43 44,0.773577,0.006737,0.442521,0.004766,0.853936,0.002740,0.130466,0.010884,0.282574,0.026761,0.185158,0.006270,0.111948,0.144913,5976.000000,779.666667
baseline,Baseline,0.10,3,42 43 44,0.766068,0.006407,0.537024,0.004486,0.837170,0.002255,0.100346,0.009180,0.168507,0.016569,0.262806,0.009996,0.084337,0.113119,5976.000000,599.666667
baseline,Baseline,0.15,3,42 43 44,0.757290,0.006231,0.597908,0.009112,0.818699,0.003549,0.081270,0.007950,0.118251,0.013346,0.322475,0.010415,0.067269,0.092369,5976.000000,485.666667
baseline,Baseline,0.20,3,42 43 44,0.747886,0.006362,0.649268,0.002897,0.802217,0.003716,0.066823,0.008227,0.089580,0.011768,0.370384,0.010830,0.053380,0.078313,5976.000000,399.333333
baseline,Baseline,0.25,3,42 43 44,0.737489,0.004760,0.685333,0.003833,0.782325,0.005676,0.054607,0.006777,0.068664,0.009521,0.415302,0.011448,0.043005,0.064257,5976.000000,326.333333
baseline,Baseline,0.30,3,42 43 44,0.726939,0.006699,0.717685,0.006295,0.762148,0.007383,0.043730,0.006715,0.052934,0.009323,0.457647,0.006426,0.032631,0.052544,5976.000000,261.333333
baseline,Baseline,0.35,3,42 43 44,0.716565,0.003894,0.749781,0.002815,0.743393,0.004430,0.035810,0.005835,0.041778,0.007359,0.493361,0.009095,0.026104,0.043842,5976.000000,214.000000
baseline,Baseline,0.40,3,42 43 44,0.700394,0.008376,0.778188,0.007880,0.717817,0.009221,0.028726,0.005822,0.032463,0.006526,0.528931,0.006684,0.019411,0.036479,5976.000000,171.666667
baseline,Baseline,0.45,3,42 43 44,0.678446,0.013193,0.807746,0.010540,0.685422,0.013316,0.022590,0.006245,0.024821,0.006588,0.562566,0.001856,0.013052,0.029953,5976.000000,135.000000
baseline,Baseline,0.50,3,42 43 44,0.652242,0.009875,0.830582,0.004776,0.649332,0.009430,0.017180,0.003922,0.018407,0.004089,0.593361,0.003509,0.010710,0.022925,5976.000000,102.666667
baseline,Baseline,0.55,3,42 43 44,0.613632,0.014496,0.854346,0.007574,0.598750,0.016383,0.011825,0.002861,0.012272,0.002957,0.629111,0.003507,0.006861,0.016232,5976.000000,70.666667
baseline,Baseline,0.60,3,42 43 44,0.576990,0.011804,0.873382,0.006150,0.547314,0.018462,0.007530,0.002499,0.007753,0.002404,0.662896,0.005227,0.003347,0.011379,5976.000000,45.000000
baseline,Baseline,0.65,3,42 43 44,0.513425,0.008144,0.891027,0.000988,0.476272,0.014501,0.003904,0.001076,0.003904,0.001076,0.701364,0.004457,0.001673,0.006191,5976.000000,23.333333
baseline,Baseline,0.70,3,42 43 44,0.444039,0.027389,0.912702,0.010257,0.399545,0.026882,0.001673,0.000335,0.001673,0.000335,0.737453,0.007674,0.000669,0.003012,5976.000000,10.000000
baseline,Baseline,0.75,3,42 43 44,0.338725,0.019679,0.926893,0.004375,0.302643,0.011532,0.000669,0.000168,0.000669,0.000168,0.766587,0.004876,0.000167,0.001506,5976.000000,4.000000
baseline,Baseline,0.80,3,42 43 44,0.220134,0.002538,0.936273,0.009169,0.195226,0.007813,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
baseline,Baseline,0.85,3,42 43 44,0.094349,0.007086,0.937848,0.021456,0.089230,0.004848,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
baseline,Baseline,0.90,3,42 43 44,0.009750,0.001107,0.966667,0.057735,0.009946,0.001969,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
baseline,Baseline,0.95,3,42 43 44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p1_clahe,P1 CLAHE,0.05,3,42 43 44,0.767630,0.002926,0.458120,0.013326,0.849389,0.001302,0.131693,0.003054,0.290998,0.005028,0.193206,0.009495,0.121653,0.141399,5976.000000,787.000000
p1_clahe,P1 CLAHE,0.10,3,42 43 44,0.758928,0.002537,0.543724,0.012154,0.829781,0.002740,0.100067,0.004223,0.175033,0.005368,0.274174,0.010056,0.090027,0.110107,5976.000000,598.000000
p1_clahe,P1 CLAHE,0.15,3,42 43 44,0.752201,0.001535,0.599755,0.010111,0.815573,0.003446,0.083780,0.004052,0.126450,0.007306,0.332433,0.006646,0.074130,0.092704,5976.000000,500.666667
p1_clahe,P1 CLAHE,0.20,3,42 43 44,0.743432,0.002320,0.643167,0.006947,0.797386,0.007736,0.070672,0.002228,0.097557,0.006219,0.379736,0.007613,0.063420,0.077979,5976.000000,422.333333
p1_clahe,P1 CLAHE,0.25,3,42 43 44,0.734674,0.004647,0.681975,0.009245,0.780904,0.005590,0.058847,0.003263,0.076584,0.005666,0.422541,0.007394,0.051205,0.066767,5976.000000,351.666667
p1_clahe,P1 CLAHE,0.30,3,42 43 44,0.724203,0.007582,0.716828,0.009144,0.764422,0.005676,0.049085,0.002484,0.060910,0.004826,0.460562,0.009491,0.042336,0.055723,5976.000000,293.333333
p1_clahe,P1 CLAHE,0.35,3,42 43 44,0.709887,0.004198,0.743053,0.012357,0.742256,0.002994,0.039715,0.002427,0.048026,0.004437,0.497032,0.008529,0.033635,0.046017,5976.000000,237.333333
p1_clahe,P1 CLAHE,0.40,3,42 43 44,0.693380,0.006655,0.769038,0.011052,0.720375,0.005185,0.032352,0.002272,0.038208,0.003854,0.528295,0.009502,0.026774,0.038153,5976.000000,193.333333
p1_clahe,P1 CLAHE,0.45,3,42 43 44,0.678313,0.012868,0.798782,0.008991,0.696789,0.011637,0.025156,0.003109,0.028614,0.004640,0.563893,0.010887,0.019746,0.031794,5976.000000,150.333333
p1_clahe,P1 CLAHE,0.50,3,42 43 44,0.655296,0.010094,0.822597,0.008852,0.664962,0.012295,0.019355,0.003832,0.021252,0.004123,0.595141,0.003300,0.012885,0.025268,5976.000000,115.666667
p1_clahe,P1 CLAHE,0.55,3,42 43 44,0.628026,0.015234,0.845735,0.001851,0.623188,0.022892,0.014000,0.002594,0.015172,0.002995,0.623500,0.005168,0.009203,0.018411,5976.000000,83.666667
p1_clahe,P1 CLAHE,0.60,3,42 43 44,0.583628,0.008490,0.862224,0.009847,0.564365,0.014791,0.008143,0.002010,0.008367,0.002264,0.663423,0.001056,0.004685,0.012048,5976.000000,48.666667
p1_clahe,P1 CLAHE,0.65,3,42 43 44,0.531787,0.016331,0.882505,0.007340,0.496448,0.018781,0.004406,0.000859,0.004406,0.000859,0.699127,0.005575,0.002510,0.006693,5976.000000,26.333333
p1_clahe,P1 CLAHE,0.70,3,42 43 44,0.447336,0.009549,0.903203,0.000893,0.410912,0.012558,0.001897,0.000587,0.001897,0.000587,0.734652,0.007477,0.000669,0.003514,5976.000000,11.333333
p1_clahe,P1 CLAHE,0.75,3,42 43 44,0.354600,0.008992,0.922749,0.008890,0.316567,0.014701,0.000614,0.000387,0.000614,0.000387,0.775106,0.010284,0.000000,0.001506,5976.000000,3.666667
p1_clahe,P1 CLAHE,0.80,3,42 43 44,0.221620,0.006358,0.932332,0.004221,0.195510,0.005414,0.000056,0.000096,0.000056,0.000096,0.801854,0.000000,0.000000,0.000502,5976.000000,0.333333
p1_clahe,P1 CLAHE,0.85,3,42 43 44,0.089884,0.008658,0.963056,0.021660,0.082125,0.003445,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p1_clahe,P1 CLAHE,0.90,3,42 43 44,0.012360,0.005762,1.000000,0.000000,0.010514,0.004995,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p1_clahe,P1 CLAHE,0.95,3,42 43 44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p2_illumination,P2 illumination,0.05,3,42 43 44,0.773652,0.007103,0.451195,0.016705,0.853367,0.006436,0.134315,0.009187,0.289882,0.029260,0.187396,0.005074,0.119478,0.150602,5976.000000,802.666667
p2_illumination,P2 illumination,0.10,3,42 43 44,0.765663,0.006164,0.539846,0.018131,0.834612,0.003073,0.101183,0.006373,0.173360,0.014873,0.266035,0.004700,0.089859,0.113956,5976.000000,604.666667
p2_illumination,P2 illumination,0.15,3,42 43 44,0.757816,0.008644,0.597516,0.014713,0.819267,0.001705,0.083166,0.006946,0.122602,0.011733,0.325814,0.008860,0.071285,0.095549,5976.000000,497.000000
p2_illumination,P2 illumination,0.20,3,42 43 44,0.748434,0.007484,0.640783,0.014767,0.802217,0.001476,0.068050,0.004784,0.091589,0.007070,0.377334,0.009913,0.059237,0.078146,5976.000000,406.666667
p2_illumination,P2 illumination,0.25,3,42 43 44,0.740217,0.007592,0.677315,0.013181,0.787440,0.005676,0.056839,0.004608,0.070894,0.006495,0.422400,0.013190,0.048193,0.065930,5976.000000,339.666667
p2_illumination,P2 illumination,0.30,3,42 43 44,0.729060,0.002183,0.710142,0.005042,0.767832,0.006048,0.047022,0.002029,0.056615,0.002684,0.459128,0.009337,0.040997,0.053380,5976.000000,281.000000
p2_illumination,P2 illumination,0.35,3,42 43 44,0.716120,0.003172,0.741200,0.004435,0.746235,0.004291,0.038599,0.001089,0.044288,0.001267,0.496966,0.008827,0.033467,0.043842,5976.000000,230.666667
p2_illumination,P2 illumination,0.40,3,42 43 44,0.701102,0.008071,0.774948,0.002580,0.724069,0.001775,0.031403,0.000791,0.035364,0.000843,0.528006,0.011376,0.026941,0.036145,5976.000000,187.666667
p2_illumination,P2 illumination,0.45,3,42 43 44,0.674614,0.013149,0.803155,0.004556,0.689684,0.006767,0.024097,0.000290,0.026941,0.000603,0.560394,0.013209,0.020248,0.028112,5976.000000,144.000000
p2_illumination,P2 illumination,0.50,3,42 43 44,0.645910,0.018524,0.827992,0.010475,0.648764,0.012026,0.017738,0.001171,0.019578,0.001339,0.591856,0.011083,0.013889,0.021586,5976.000000,106.000000
p2_illumination,P2 illumination,0.55,3,42 43 44,0.609267,0.022075,0.854056,0.006230,0.596192,0.020288,0.012271,0.001805,0.013108,0.001500,0.624847,0.013083,0.008367,0.016064,5976.000000,73.333333
p2_illumination,P2 illumination,0.60,3,42 43 44,0.563848,0.034614,0.877740,0.009678,0.537653,0.034790,0.007864,0.001534,0.008255,0.001423,0.655546,0.015286,0.004853,0.011044,5976.000000,47.000000
p2_illumination,P2 illumination,0.65,3,42 43 44,0.512441,0.038267,0.904229,0.007891,0.476556,0.038344,0.004072,0.001836,0.004239,0.002045,0.689492,0.001864,0.001171,0.007028,5976.000000,24.333333
p2_illumination,P2 illumination,0.70,3,42 43 44,0.430436,0.043739,0.911161,0.009308,0.390168,0.039844,0.001450,0.000755,0.001450,0.000755,0.729445,0.002601,0.000167,0.003012,5976.000000,8.666667
p2_illumination,P2 illumination,0.75,3,42 43 44,0.330527,0.045595,0.933946,0.003895,0.295823,0.036559,0.000279,0.000256,0.000279,0.000256,0.765327,0.008397,0.000000,0.001004,5976.000000,1.666667
p2_illumination,P2 illumination,0.80,3,42 43 44,0.205515,0.038045,0.944567,0.012430,0.180449,0.028382,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p2_illumination,P2 illumination,0.85,3,42 43 44,0.080804,0.011184,0.948259,0.011899,0.075874,0.013235,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p2_illumination,P2 illumination,0.90,3,42 43 44,0.014348,0.006878,0.987179,0.022206,0.016198,0.006767,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p2_illumination,P2 illumination,0.95,3,42 43 44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p3_unsharp,P3 unsharp,0.05,3,42 43 44,0.769363,0.011074,0.451336,0.006901,0.848821,0.006399,0.132084,0.004568,0.277220,0.012718,0.186410,0.010959,0.120482,0.142738,5976.000000,789.333333
p3_unsharp,P3 unsharp,0.10,3,42 43 44,0.761947,0.011923,0.543574,0.014966,0.832339,0.011352,0.099621,0.007745,0.163599,0.015691,0.267018,0.008653,0.085174,0.111111,5976.000000,595.333333
p3_unsharp,P3 unsharp,0.15,3,42 43 44,0.754584,0.010431,0.608105,0.010995,0.815573,0.008873,0.080154,0.008511,0.114514,0.014095,0.329181,0.006576,0.065763,0.091867,5976.000000,479.000000
p3_unsharp,P3 unsharp,0.20,3,42 43 44,0.746033,0.011020,0.651877,0.018203,0.798522,0.009695,0.066823,0.007264,0.087294,0.011070,0.377986,0.008035,0.054384,0.077979,5976.000000,399.333333
p3_unsharp,P3 unsharp,0.25,3,42 43 44,0.738169,0.007694,0.685572,0.017026,0.783177,0.007921,0.055165,0.006837,0.066655,0.009353,0.426082,0.007790,0.043507,0.064926,5976.000000,329.666667
p3_unsharp,P3 unsharp,0.30,3,42 43 44,0.728464,0.008944,0.722122,0.018456,0.764990,0.009036,0.045794,0.006643,0.053436,0.008185,0.463932,0.007720,0.034639,0.054719,5976.000000,273.666667
p3_unsharp,P3 unsharp,0.35,3,42 43 44,0.714812,0.010073,0.752195,0.010940,0.745951,0.010682,0.036926,0.005356,0.042001,0.005942,0.501697,0.011953,0.027610,0.044679,5976.000000,220.666667
p3_unsharp,P3 unsharp,0.40,3,42 43 44,0.698657,0.013668,0.779619,0.008638,0.722932,0.015926,0.030288,0.005268,0.033412,0.005379,0.534515,0.010437,0.021419,0.038153,5976.000000,181.000000
p3_unsharp,P3 unsharp,0.45,3,42 43 44,0.677978,0.011590,0.803975,0.006426,0.691106,0.012364,0.024431,0.005547,0.026495,0.005573,0.564119,0.004727,0.015730,0.032129,5976.000000,146.000000
